Timestamp,Drone_ID,Position_X,Position_Y
2025-01-01 16:45:08,1,297.54,99.47
2025-01-01 16:45:08,2,869.8,620.54
2025-01-01 16:45:08,3,920.02,331.23
2025-01-01 16:45:08,4,269.46,170.32
2025-01-01 16:45:08,5,962.85,450.13
2025-01-01 16:45:08,1,302.54,99.47
2025-01-01 16:45:08,2,869.8,620.54
2025-01-01 16:45:08,3,915.02,331.23
2025-01-01 16:45:08,4,274.46,175.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,307.54,94.47
2025-01-01 16:45:08,2,869.8,625.54
2025-01-01 16:45:08,3,915.02,326.23
2025-01-01 16:45:08,4,269.46,175.32
2025-01-01 16:45:08,5,957.85,445.13
2025-01-01 16:45:08,1,307.54,99.47
2025-01-01 16:45:08,2,864.8,620.54
2025-01-01 16:45:08,3,915.02,326.23
2025-01-01 16:45:08,4,264.46,175.32
2025-01-01 16:45:08,5,957.85,445.13
2025-01-01 16:45:08,1,307.54,99.47
2025-01-01 16:45:08,2,864.8,625.54
2025-01-01 16:45:08,3,920.02,321.23
2025-01-01 16:45:08,4,264.46,180.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,312.54,104.47
2025-01-01 16:45:08,2,864.8,625.54
2025-01-01 16:45:08,3,925.02,321.23
2025-01-01 16:45:08,4,264.46,185.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,864.8,625.54
2025-01-01 16:45:08,3,925.02,326.23
2025-01-01 16:45:08,4,259.46,185.32
2025-01-01 16:45:08,5,967.85,445.13
2025-01-01 16:45:08,1,307.54,109.47
2025-01-01 16:45:08,2,864.8,630.54
2025-01-01 16:45:08,3,925.02,331.23
2025-01-01 16:45:08,4,259.46,185.32
2025-01-01 16:45:08,5,962.85,440.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,864.8,630.54
2025-01-01 16:45:08,3,925.02,331.23
2025-01-01 16:45:08,4,259.46,185.32
2025-01-01 16:45:08,5,962.85,440.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,864.8,625.54
2025-01-01 16:45:08,3,925.02,331.23
2025-01-01 16:45:08,4,259.46,190.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,864.8,620.54
2025-01-01 16:45:08,3,925.02,331.23
2025-01-01 16:45:08,4,264.46,195.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,307.54,109.47
2025-01-01 16:45:08,2,864.8,620.54
2025-01-01 16:45:08,3,920.02,331.23
2025-01-01 16:45:08,4,264.46,200.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,307.54,109.47
2025-01-01 16:45:08,2,864.8,620.54
2025-01-01 16:45:08,3,925.02,331.23
2025-01-01 16:45:08,4,264.46,205.32
2025-01-01 16:45:08,5,967.85,450.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,859.8,615.54
2025-01-01 16:45:08,3,925.02,331.23
2025-01-01 16:45:08,4,259.46,205.32
2025-01-01 16:45:08,5,962.85,450.13
2025-01-01 16:45:08,1,312.54,99.47
2025-01-01 16:45:08,2,864.8,620.54
2025-01-01 16:45:08,3,930.02,331.23
2025-01-01 16:45:08,4,259.46,210.32
2025-01-01 16:45:08,5,962.85,450.13
2025-01-01 16:45:08,1,312.54,104.47
2025-01-01 16:45:08,2,859.8,620.54
2025-01-01 16:45:08,3,930.02,331.23
2025-01-01 16:45:08,4,259.46,210.32
2025-01-01 16:45:08,5,962.85,450.13
2025-01-01 16:45:08,1,317.54,104.47
2025-01-01 16:45:08,2,859.8,620.54
2025-01-01 16:45:08,3,930.02,331.23
2025-01-01 16:45:08,4,264.46,210.32
2025-01-01 16:45:08,5,957.85,455.13
2025-01-01 16:45:09,1,322.54,104.47
2025-01-01 16:45:09,2,859.8,620.54
2025-01-01 16:45:09,3,935.02,331.23
2025-01-01 16:45:09,4,264.46,205.32
2025-01-01 16:45:09,5,957.85,455.13
2025-01-01 16:45:09,1,322.54,109.47
2025-01-01 16:45:09,2,854.8,620.54
2025-01-01 16:45:09,3,935.02,331.23
2025-01-01 16:45:09,4,264.46,200.32
2025-01-01 16:45:09,5,957.85,455.13
2025-01-01 16:45:09,1,322.54,109.47
2025-01-01 16:45:09,2,859.8,620.54
2025-01-01 16:45:09,3,940.02,326.23
2025-01-01 16:45:09,4,264.46,200.32
2025-01-01 16:45:09,5,952.85,450.13
2025-01-01 16:45:09,1,322.54,109.47
2025-01-01 16:45:09,2,859.8,620.54
2025-01-01 16:45:09,3,935.02,321.23
2025-01-01 16:45:09,4,259.46,200.32
2025-01-01 16:45:09,5,952.85,455.13
2025-01-01 16:45:09,1,327.54,109.47
2025-01-01 16:45:09,2,864.8,620.54
2025-01-01 16:45:09,3,935.02,326.23
2025-01-01 16:45:09,4,264.46,195.32
2025-01-01 16:45:09,5,957.85,455.13
2025-01-01 16:45:09,1,327.54,109.47
2025-01-01 16:45:09,2,869.8,620.54
2025-01-01 16:45:09,3,940.02,326.23
2025-01-01 16:45:09,4,264.46,200.32
2025-01-01 16:45:09,5,957.85,455.13
2025-01-01 16:45:09,1,327.54,114.47
2025-01-01 16:45:09,2,869.8,625.54
2025-01-01 16:45:09,3,940.02,326.23
2025-01-01 16:45:09,4,269.46,200.32
2025-01-01 16:45:09,5,952.85,450.13
2025-01-01 16:45:09,1,327.54,114.47
2025-01-01 16:45:09,2,874.8,625.54
2025-01-01 16:45:09,3,940.02,331.23
2025-01-01 16:45:09,4,269.46,200.32
2025-01-01 16:45:09,5,952.85,455.13
2025-01-01 16:45:09,1,327.54,114.47
2025-01-01 16:45:09,2,869.8,620.54
2025-01-01 16:45:09,3,940.02,331.23
2025-01-01 16:45:09,4,269.46,200.32
2025-01-01 16:45:09,5,952.85,455.13
2025-01-01 16:45:09,1,327.54,114.47
2025-01-01 16:45:09,2,869.8,625.54
2025-01-01 16:45:09,3,945.02,331.23
2025-01-01 16:45:09,4,274.46,200.32
2025-01-01 16:45:09,5,952.85,455.13
2025-01-01 16:45:09,1,327.54,114.47
2025-01-01 16:45:09,2,864.8,625.54
2025-01-01 16:45:09,3,945.02,326.23
2025-01-01 16:45:09,4,274.46,200.32
2025-01-01 16:45:09,5,947.85,455.13
2025-01-01 16:45:09,1,332.54,119.47
2025-01-01 16:45:09,2,859.8,625.54
2025-01-01 16:45:09,3,945.02,331.23
2025-01-01 16:45:09,4,274.46,205.32
2025-01-01 16:45:09,5,952.85,450.13
2025-01-01 16:45:09,1,332.54,119.47
2025-01-01 16:45:09,2,859.8,630.54
2025-01-01 16:45:09,3,945.02,336.23
2025-01-01 16:45:09,4,274.46,200.32
2025-01-01 16:45:09,5,952.85,445.13
2025-01-01 16:45:09,1,327.54,119.47
2025-01-01 16:45:09,2,859.8,630.54
2025-01-01 16:45:09,3,950.02,336.23
2025-01-01 16:45:09,4,274.46,200.32
2025-01-01 16:45:09,5,952.85,445.13
2025-01-01 16:45:09,1,322.54,119.47
2025-01-01 16:45:09,2,859.8,630.54
2025-01-01 16:45:09,3,950.02,336.23
2025-01-01 16:45:09,4,269.46,200.32
2025-01-01 16:45:09,5,952.85,445.13
2025-01-01 16:45:09,1,322.54,114.47
2025-01-01 16:45:09,2,859.8,635.54
2025-01-01 16:45:09,3,950.02,336.23
2025-01-01 16:45:09,4,269.46,195.32
2025-01-01 16:45:09,5,947.85,450.13
2025-01-01 16:45:09,1,322.54,109.47
2025-01-01 16:45:09,2,864.8,640.54
